genes	SRR1278968_counts.txt SRR1278969_counts.txt SRR1278970_counts.txt SRR1278971_counts.txt SRR1278972_counts.txt SRR1278973_counts.txt
CPAR2_105140 4 6 4 16 25 16
CPAR2_105150 1 0 1 2 1 6
CPAR2_105160 0 0 0 0 0 0
CPAR2_105170 0 0 0 0 6 5
CPAR2_105180 0 0 0 1 10 4
CPAR2_105190 0 0 0 0 0 0
CPAR2_105200 68 78 71 127 145 116
CPAR2_105210 0 0 0 15 27 13
CPAR2_105220 0 1 0 0 0 0
CPAR2_105230 0 0 0 2 3 4
CPAR2_105240 1 1 0 7 3 3
CPAR2_105250 3 2 0 11 15 12
CPAR2_105260 13 12 7 1 4 4
CPAR2_105270 1 1 4 0 2 2
CPAR2_105280 0 0 0 0 0 0
CPAR2_105290 1 1 2 3 2 1
CPAR2_105300 7 2 1 4 11 13
CPAR2_105310 1 0 2 4 11 6
CPAR2_105320 0 0 0 0 0 0
CPAR2_105330 0 0 0 0 0 0
CPAR2_105340 1 0 0 0 0 1
CPAR2_105350 3 6 4 0 15 7
CPAR2_105360 0 0 0 0 0 0
CPAR2_105370 0 0 0 0 1 0
CPAR2_105380 0 0 0 0 0 0
CPAR2_105390 0 0 0 0 1 0
CPAR2_105400 11 8 6 15 17 10
CPAR2_105410 0 0 1 1 3 1
CPAR2_105420 0 0 0 0 0 0
CPAR2_105430 0 0 0 1 0 0
CPAR2_105440 0 0 0 0 0 0
CPAR2_105450 0 0 1 5 1 4
CPAR2_105460 0 0 0 0 0 2
CPAR2_105470 1 2 2 8 8 6
CPAR2_105480 0 0 0 3 2 2
CPAR2_105490 0 0 0 3 0 0
CPAR2_105500 1 0 0 0 0 2
CPAR2_105510 0 0 0 0 0 0
CPAR2_105520 6 6 3 11 12 4
CPAR2_105530 0 0 0 8 6 3
CPAR2_105540 0 0 0 2 9 7
CPAR2_105550 0 0 0 5 4 3
CPAR2_105560 1 0 0 5 5 1
CPAR2_105570 0 0 0 0 0 0
CPAR2_105580 0 0 0 1 0 0
CPAR2_105590 2 0 0 1 4 3
CPAR2_105600 0 0 0 0 0 0
CPAR2_105610 1 2 3 22 23 13
CPAR2_105620 1 0 0 0 0 0
CPAR2_105630 0 1 2 3 4 4
CPAR2_105640 1 6 8 8 48 27
CPAR2_105650 0 0 0 0 0 0
CPAR2_105660 128 83 88 1 2 5
CPAR2_105670 0 1 0 3 1 0
CPAR2_105680 1 1 1 1 1 1
CPAR2_105690 0 0 0 0 0 0
CPAR2_105700 0 0 0 0 0 0
CPAR2_105710 5 5 3 12 21 15
CPAR2_105720 0 3 1 2 0 0
CPAR2_105730 18 16 18 106 84 77
CPAR2_105740 0 0 0 0 0 0
CPAR2_105750 0 0 0 0 0 0
CPAR2_105760 77 78 86 539 420 366
CPAR2_105770 0 2 0 4 4 3
CPAR2_105780 0 0 1 0 0 1
CPAR2_105790 0 0 0 0 2 0
CPAR2_105800 1 2 1 7 1 8
CPAR2_105810 2 0 0 3 0 0
CPAR2_105820 0 0 1 0 0 0
CPAR2_105830 0 0 0 0 0 0
CPAR2_105840 0 0 0 1 0 0
CPAR2_105850 1 0 0 0 0 0
CPAR2_105860 4 6 11 53 110 56
CPAR2_105870 0 2 0 0 0 0
CPAR2_105880 0 0 1 2 2 0
CPAR2_105890 1 2 5 0 0 1
CPAR2_105900 0 0 0 0 0 0
CPAR2_105910 0 0 0 2 2 2
CPAR2_105920 0 1 0 0 0 1
CPAR2_105930 0 1 0 1 0 1
CPAR2_105940 1 0 1 1 0 0
CPAR2_105950 10 3 4 11 15 6
CPAR2_105960 0 1 0 0 3 1
CPAR2_105970 0 2 0 0 0 0
CPAR2_105980 1 0 0 0 0 0
CPAR2_105990 0 1 0 0 0 0
CPAR2_106000 15 35 26 58 63 37
CPAR2_106010 33 34 36 89 155 130
CPAR2_106015 1 0 1 1 0 1
CPAR2_106020 2 1 1 5 2 2
CPAR2_106030 1 0 0 6 1 2
CPAR2_106040 0 0 1 0 1 1
CPAR2_106050 0 0 0 1 0 0
CPAR2_106060 12 9 11 129 335 225
CPAR2_106070 0 0 0 0 0 0
CPAR2_106080 0 2 1 1 2 0
CPAR2_106090 0 2 0 3 5 2
CPAR2_106100 0 0 0 0 0 1
CPAR2_106110 6 4 8 32 38 25
CPAR2_106120 0 6 1 3 0 1
CPAR2_106130 10 6 10 46 39 18
CPAR2_106140 1 1 2 1 2 0
CPAR2_106150 0 0 0 4 0 4
CPAR2_106160 0 3 4 3 0 5
CPAR2_106170 0 0 3 1 1 2
CPAR2_106180 3 0 0 5 5 2
CPAR2_106190 180 160 126 86 90 91
CPAR2_106200 0 0 0 2 3 3
CPAR2_106210 1 0 0 0 0 1
CPAR2_106220 0 1 2 1 0 3
CPAR2_106230 0 0 0 1 1 0
CPAR2_106240 2 2 2 2 7 5
CPAR2_106250 0 0 0 0 4 4
CPAR2_106260 5 7 8 5 11 7
CPAR2_106270 0 0 1 27 12 10
CPAR2_106280 0 0 2 1 0 0
CPAR2_106290 0 1 0 1 1 0
CPAR2_106300 0 0 0 0 0 0
CPAR2_106310 1 0 0 1 0 0
CPAR2_106320 0 0 0 0 0 0
CPAR2_106330 0 2 0 0 0 0
CPAR2_106340 229 211 243 1007 1121 702
CPAR2_106350 0 0 0 0 1 0
CPAR2_106360 33 42 50 17 34 17
CPAR2_106370 3 2 2 25 32 24
CPAR2_106380 3 2 3 4 2 2
CPAR2_106390 0 2 2 12 11 11
CPAR2_106400 0 0 0 3 5 1
CPAR2_106410 0 0 1 0 0 2
CPAR2_106420 3 1 3 0 1 1
CPAR2_106430 0 1 0 0 0 1
CPAR2_106440 0 0 0 0 0 0
CPAR2_106450 0 0 0 0 1 0
CPAR2_106460 0 0 0 1 0 0
